college,Code
Southeastern Oklahoma State,OK
Florida,FL
Detroit Mercy,MI
UCLA,CA
Villanova,PA
Illinois,IL
Temple,PA
Clemson,SC
Washington,WA
Memphis,TN
Notre Dame,IN
Nevada-Las Vegas,NV
Delaware State,DE
Alabama,AL
Wyoming,WY
Pittsburgh,PA
North Carolina,NC
Providence,RI
Nebraska,NE
Michigan State,MI
Mississipi State,MS
New Orleans,LA
Georgia Tech,GA
La Salle,PA
Pacific,CA
Arkansas-Little Rock,AR
Xavier,OH
Duquesne,PA
Syracuse,NY
Georgia,GA
Georgetown,DC
Northern Illinois,IL
Colorado,CO
Connecticut,CT
Cincinnati,KY
Pepperdine,CA
Virginia Tech,VA
Louisville,KY
Western Carolina,NC
Grand Canyon,AZ
Tulane,LA
Boston College,MA
Arizona State,AZ
Michigan,MI
Kentucky,KY
St. John's (NY),NY
South Carolina,SC
California,CA
Texas Tech,TX
Iowa State,IA
Bradley,IL
Ohio State,OH
St. Mary's (TX),TX
Brigham Young,UT
Oregon State,OR
Ohio,OH
Northwestern Oklahoma,OK
Florida State,FL
Tennessee-Chattanooga,TN
Penn State,PA
Purdue,IN
Eastern Michigan,MI
Houston,TX
Kansas,KS
Texas-El Paso,TX
Indiana,IN
Oklahoma,OK
Oral Roberts,OK
Duke,NC
Jacksonville,FL
Nevada-Reno,NV
Southern Illinois,IL
Southern,LA
Iowa,IA
Arizona,AZ
Virginia Union,VA
Creighton,NE
East Carolina,NC
Rice,TX
Augustana (SD),SD
California-Santa Sarbara,CA
Stanford,CA
Lamar,TX
Tennessee,TN
Oklahoma State,OK
Arkansas,AR
Tennessee State,TN
Missouri,MO
Wichita State,KS
Pfeiffer,NC
Marquette,WI
Cal State-Fullerton,CA
Virginia,VA
Washington State,WA
Southern Mississipi,MS
Central Michigan,MI
Fayetteville State,NC
Navy,MD
Baylor,TX
Pennsylvania,PA
North Carolina State,NC
Long Beach State,CA
Maryland,MD
Auburn,AL
Albany State (GA),GA
Boise State,ID
Yale,CT
Old Dominion,VA
Western Kentucky,KY
Longwood,VA
Mercer,GA
California-Irvine,CA
Weber State,UT
Central Arkansas,AR
West Virginia Tech,VA
Louisiana State,LA
Trinity Valley Community College,TX
Miami (OH),OH
Wake Forest,NC
New Mexico State,NM
Hampton,VA
Marist,NY
Southern California,CA
Centenary (LA),LA
DePaul,IL
Tulsa,OK
Hartford,NY
Wright State,OH
Minnesota,MN
Vanderbilt,TN
George Washington,WA
Santa Clara,CA
Oregon,OR
Missouri-Kansas City,MO
Seton Hall,NJ
Wisconsin-Stevens Point,WI
Utah,UT
Central State (OH),OH
Eastern Illinois,IL
Texas Christian,TX
Texas,TX
Montana,MT
Coppin State,MD
Jackson State,MS
Mt. San Antonio,CA
Murray State,KY
McNeese State,LA
Gonzaga,WA
Richmond,VA
Louisiana Tech,LA
Massachusetts,MA
Georgia Southern,GA
Wisconsin,WI
Kansas State,KA
West Florida,FL
San Diego State,CA
Stetson,FL
Montevallo,AL
New Mexico,NM
Drexel,PA
American International,MA
Seward County Community College,KA
North Carolina-Wilmington,NC
Cal State-Bakersfield,CA
Central Connecticut State,CT
South Carolina State,SC
San Jose State,CA
Bowling Green,OH
College of Charleston,SC
Colgate,NY
Austin Peay,TN
Morehead State,KY
Davidson,NC
Auburn-Montgomery,AL
Wisconsin-Green Bay,WI
Morehouse,GA
Toledo,OH
Valparaiso,IN
Ball State,IN
Long Island-Brooklyn,NY
Rhode Island,RI
Saint Louis,MO
Dayton,OH
Liberty,VA
Nicholls State,LA
Florida A&M,FL
Central Oklahoma,OK
Northwestern,IL
North Carolina-Charlotte,NC
Augsburg,MN
George Mason,VA
Texas State,TX
Barton Community College,KA
Hawaii,HI
South Florida,FL
Fresno State,CA
Thomas More,KY
Miami (FL),FL
Colorado State,CO
Saint Rose,NY
Lebanon Valley,PA
Northern Arizona,AZ
Saint Vincent,PA
St. Bonaventure,NY
Louisiana-Monroe,LA
Master's,CA
Princeton,NJ
Butler Community College,KA
Florida International,FL
Hofstra,NY
Northwest Florida State,FL
Blinn,TX
Mississipi,MS
Southern Methodist,TX
Indian Hills Community College,IA
Texas-San Antonio,TX
Shaw,NC
Fordham,NY
Marshall,VA
Wingate,NC
Northeast Mississipi Community College,MS
Utah State,UT
Western Michigan,MI
Idaho,ID
North Dakota,ND
Portland State,OR
Central Florida,FL
Nevada,NV
Manhattan,NY
Brigham Young-Hawaii,HI
Saint Joseph's,PA
Kent State,OH
William Paterson,NJ
Southeastern Illinois,IL
Louisiana-Lafayette,LA
Oakland,MI
Utah Valley,UT
Walsh,OH
Texas A&M,TX
Alabama-Birmingham,AL
Fairfield,CT
Delta State,MS
Northeastern,MA
Rutgers,NJ
Meridian Community College,MS
Missouri State,MO
Eastern Washington,WA
Indiana Purdue-Indianapolis,IN
West Virginia,VA
Rider,NJ
Midland,NV
Virginia Commonwealth,VA
Cleveland State,OH
Virginia Military Institute,VA
Northwestern State,LA
Tennesse-Martin,TN
Robert Morris (IL),IL
Saint Mary's (CA),CA
Le Moyne,NY
Butler,IN
Augusta State,GA
Towson,MD
Harvard,MA
Portland,OR
Siena,NY
Jacksonville State,AL
Alabama A&M,AL
Midwestern State,TX
Cornell,NY
Cal State-San Bernardino,CA
Iona,NY
Norfolk State,VA
Tennesse Tech,TN
North Texas,TX
Lehigh,PA
Belmont,TN
Bucknell,PA
South Dakota State,SD
California-Berkeley,CA
Westchester CC NY,NY
Georgia State,GA
UNLV,NV
USC,CA
Miami (Fla.),FL
Ohio U.,OH
Louisana-Lafayette,LA
S.E. Missouri,MO
Cal-Santa Barbara,CA
American University,WA
Miami,FL
University of Dayton,OH
St. Mary's (CA),CA
Loyola (IL),IL
"St. John's, N.Y.",NY
California-Los Angeles,CA
Va Commonwealth,VA
St. Louis,MO
South Carolina Upstate,SC
Molloy,NY
Boston U.,MA
"University of California, Berkley",CA
Cal State-Long Beach,CA
"Stony Brook, N.Y.",NY
Holy Cross,MA
Alabama Huntsville,AL
University of Colorado Boulder,CO
Illinois State,IL
Georgia Institute of Technology,GA
University of Texas at Austin,TX
Radford University,VA
University of Nebraska-Lincoln,NE
Texas-Arlington,TX
